,Company_Name,Location,Industry,Investor,Amount,Funding_Stage,Year
705,Intello Labs,Gurugram,"Supply chain, Agritech",Saama Capital,5900000.0,Series A,2020
706,SirionLabs,Gurugram,SaaS,"Tiger Global, Avatar Growth Capital",44000000.0,Series C,2020
707,Magicpin,Gurugram,,Lightspeed Venture Partners,3879000.0,,2020
708,GroCurv,Gurugram,B2B,Unicorn Investments Pte Ltd,,Seed Round,2020
709,Refrens,Bangalore,SaaS,"Vijay Shekhar Sharma, Anupam Mittal",1000000.0,Seed Round,2020
710,Shiprocket,Gurugram,Logitech,"Tribe Capital, Innoven Capital, BII",13000000.0,Series C,2020
711,Spyne,Gurugram,AI,"Angellist, Smile Group, Manish Amin, Anil Goel, Anubhav Sonthalia, Deepak Mittal",,Pre series A,2020
712,Nykaa,Mumbai,Ecommerce,Steadview capital,8800000.0,,2020
713,Docsapp,Bangalore,Healthtech,"Bessemer Venture Partners India, Fusian Capital, Rebright Partners, Milliways Fund LLC",9500000.0,,2020
714,Phable,Bangalore,Healthtech,Inflection Point Ventures,1000000.0,Pre series A,2020
715,Generic Aadhaar,Unknown,Pharma,Ratan Tata,,,2020
716,Nium,Unknown,Fintech,"VisaVentures, BRI Ventures",,,2020
717,Mintoak,Mumbai,Fintech,Pravega Ventures,2000000.0,Pre series A,2020
718,VestSpace,Pune,Spacetech,Next Capital,10000000.0,,2020
719,Blackbuck,Bangalore,Logistics,Trifecta Venture,,,2020
720,Vernacular ai,Bangalore,AI,"Exfinity Ventures, IAN Fund",5100000.0,Series A,2020
721,Clover,Bangalore,Agritech,Alteria Capital,920000.0,,2020
722,Varthana,Bangalore,Fintech,ChrysCapital,15000000.0,Series D,2020
723,Codeninja,Bangalore,SaaS,"Hari Balasubramanian, EaSyndicate",,Seed Round,2020
724,MetaMerphoSys,Pune,Insurance technology,Good Capital,,Pre series A,2020
725,Rooter,Delhi,Gaming,"Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",1700000.0,Pre series A,2020
726,Aker Foods,Pune,Foodtech & Logistics,Mumbai Angels Network,,,2020
727,Sascan Meditech pvt ltd,Kerala,Healthtech,Unicorn India Ventures,,,2020
728,DailyHunt,Unknown,Media,Lupa India,35600000.0,,2020
729,Pratilipi,Bangalore,Media,Tencent,9400000.0,Series C,2020
730,Biryani By Kilo,Delhi,Food,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",790000.0,Series B,2020
731,Consure Medical,Delhi,Healthtech,"Accel Partners, Jungle Ventures",480000.0,,2020
732,Servify,Mumbai,,Barkawi,250000.0,,2020
733,Tessol,Mumbai,Logistics,1Funds Domestic Scheme,160000.0,Series A,2020
734,Remedo,Noida,Healthtech,RiverRock Ventures,,Pre series A,2020
735,News Reach,Ahmedabad,Media,Mumbai Angels Network,,,2020
736,RoomSoom,Noida,Housing,Mumbai Angels Network,,,2020
737,Pedagogy,Unknown,Edtech,Inflection Point Ventures,400000.0,,2020
738,Classplus,Noida,Edtech,RTP Global,8200000.0,Series B,2020
739,Medlife,Bangalore,Pharmaceutical,Hero Fincorp,15500000.0,,2020
740,Qin1,Noida,Edtech,Venture Catalysts,,,2020
741,MYSUN,Delhi,Tech,Undisclosed,4257000.0,Pre series A,2020
742,ShopX,Bangalore,Ecommerce,Li and Fung,1410000.0,,2020
743,Sarva,Unknown,Yoga & wellness,"Mantra Capital, Patni Family",,,2020
744,Expertrons,Mumbai,AI,"Nikhil Vora, Iceland Venture Studio, LetsVenture, Samyakth Capital",,Seed Round,2020
745,NewsBytes,Gurugram,Digital Media,North Base Media,1500000.0,Series A,2020
746,Wagonfly,Bangalore,,Investment Trust of India,500000.0,,2020
747,NIRA,Bengaluru,Fintech,Angel investors,2100000.0,Pre series A,2020
748,Convosight,Hyderabad,Data Analytics,"IvyCap Ventures, Sequoia Capital",4000000.0,Pre series A,2020
749,Fittr,Pune,Fitness,"Sequoia Capital Surge, Better Capital",2000000.0,,2020
750,AsknBid,Bangalore,Investment Tech,Ravikanth Reddy & Mumbai Angel Network,,,2020
751,Bira91,Bangalore,Beverage,"Sequoia Capital, Sofina",20000000.0,Series C,2020
752,Finaureus Technologies,Pune,Fintech,Pinetree Capital,,Pre series A,2020
753,Daily Ninja,Haryana,Ecommerce,Big Basket,349800.0,,2020
754,Guvi Geek Network Pvt Ltd,Chennai,Edtech,Education Catalyst Fund,786000.0,Pre series A,2020
755,LoadShare,Bangalore,Logistics,CDC Group,2004000.0,Series B,2020
756,Vedantu,Bangalore,Edtech,KB Global Platform Firm,6800000.0,Series C,2020
757,Indusface,Unknown,IT,Tata Capital Growth Fund II,5000000.0,,2020
758,DMI Group,Delhi,Financial Services,NXC Corporation,123000000.0,,2020
759,Spintly,Goa,IoT,Saltwater Venture Sparks,248000.0,Pre series A,2020
760,Credr,Mumbai,Automobile,Stride Ventures,,,2020
761,Bijak,Gurugram,Agritech,RTP Global,12000000.0,Series A,2020
762,Bugworks,Bangalore,Biopharma,"University of Tokyo Edge Capital, Global Brain Corporation",7500000.0,,2020
763,DrinkPrime,Bangalore,,"Abhishek Goyal, Bharat Jaisinghani, FirstCheque",,Seed Round,2020
764,Yap,Chennai,Fintech,BeeNext,4500000.0,Series A,2020
765,UzhavarBumi,Tamil Nadu,Dairy,Angel Network,,,2020
766,Tattva,Delhi,Beauty & wellness,"Sukhbir Singh, Rakhee Singal",150000.0,,2020
767,Pariksha,Pune,Edtech,"INSEAD Angels, IIT Kanpur Angels, Sixth Sense Ventures, Saahil Bhatia",,Pre series A,2020
768,DailyHunt,Unknown,Media,"Bytedance, Falcon Edge, Goldman Sachs, Advent Management",24000000.0,,2020
769,NoBroker,Bangalore,Real Estate,General Atlantic,30000000.0,,2020
770,Box8,Mumbai,Foodtech,"IIFL Seed Ventures Fund, Menlo park",4000000.0,,2020
771,Capital Float,Bangalore,Fintech,"Ribbit Capital, SAIF Partners, Sequoia Capital India, Amazon",15000000.0,,2020
772,ITILITE,Bangalore,Travel & SaaS,"Greenoaks Capital, Vy Capital. Matrix Partners India",13000000.0,Series B,2020
773,Morning Context,Unknown,Digital Media,Angel investors,,Seed Round,2020
774,Aavenir,Ahmedabad,SaaS,Accel,2000000.0,Seed Round,2020
775,Savvy Co op,Unknown,Healthcare,Indie VC,,,2020
776,BLive,Unknown,Tourism & EV,Mumbai Angels Network,,Pre series A,2020
777,Yellow Messenger,Bangalore,AI,"Lightspeed Venture Partners, Lightspeed India Partners.",20000000.0,Series B,2020
778,Toch,Unknown,Media Tech,Inflection Point Ventures,400000.0,,2020
779,Ewar,Bangalore,Gaming,"Jindal Steels, Jeet Banerjee",200000.0,,2020
780,Setu,Bengaluru,Fintech,"Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund.",14259000.0,Series A,2020
781,Wellthy Therapeutics,Bangalore,Healthtech,Saama Capital,4000000.0,Pre series A,2020
782,Power Gummies,Delhi,Health,Venture Catalysts,,,2020
783,Locale ai,Bangalore,Location Analytics,Better Capital,,,2020
784,FarEye,Delhi,Logistics,"M12, Honeywell venture capital, Eight Roads Venture",24500000.0,Series D,2020
785,Rebel Foods,Unknown,Food tech,Coatue Management,50000000.0,,2020
786,BankBazaar,Chennai,Fintech,"Amazon, Sequoia, Walden SKT Venture Fund",3800000.0,Series D,2020
787,Porter,Mumbai,Logistics,Lightstone Global Funds,18370000.0,Series D,2020
788,SugarBox,Mumbai,Tech,Zee Entertainment Enterprises Limited,68525000.0,,2020
789,Capital Float,Bangalore,Fintech,"Amazon Inc`, Dinesh J Hinduja",4800000.0,Series F,2020
790,Big Basket,Bangalore,E store,Alibaba Holdings,60000000.0,,2020
791,Amica,Unknown,Fintech,"Hummingbird Ventures, Bedrock Capital",2000000.0,,2020
792,Vedantu,Bangalore,Edtech,Legend Capital,12500000.0,Series C,2020
793,Fingerlix,Unknown,Food,"Accel, Zephyr Peacock, Swiggy, RB Investments.",1834000.0,,2020
794,Plop,Mumbai,Tech,"Better Capital, LetsVenture, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi",,Angel Round,2020
795,Zupee,Gurugram,Gaming,Matrix Partners,8000000.0,Series A,2020
796,DeHaat,Patna,Agritech,Sequoia Capital India,12000000.0,Series A,2020
797,Lido Learning,Mumbai,Edtech,Bace Capital,7500000.0,Series B,2020
798,Aye Finance,Gurugram,Fintech,Undisclosed,23850000.0,,2020
799,Swiggy,Bangalore,Foodtech,"Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets",43000000.0,Series A,2020
800,Akna Medical,Unknown,Healthtech,LGT Lightstone Aspada,7000000.0,,2020
801,Zomato,Gurugram,Foodtech,Pacific Horizon,5000000.0,,2020
802,RaRa Delivery,Unknown,Logistics,"Der Shing Lim, 500 startups",800000.0,Seed Round,2020
803,JusPay,Bangalore,Fintech,Vostok Emerging Finance,21600000.0,Series B,2020
804,Obviously AI,Unknown,Data Science,Arka Venture Labs,,,2020
805,Fingpay,Mumbai,Fintech,IvyCap Ventures,3500000.0,Series A,2020
806,Recko,Bangalore,SaaS,Vertex Ventures,6000000.0,Series A,2020
807,Furlenco,Bangalore,Ecommerce,"Chowdry Associates, Lightbox",10000000.0,,2020
808,Mera Cashier,Noida,Fintech,"Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg",150000.0,,2020
809,Kitchens Centre,Delhi,,AngelList India,500000.0,Seed Round,2020
810,Camp K12,Gurugram,Edtech,"Matrix Partners, SAIF Partners",4000000.0,Seed Round,2020
811,MedGenome,Bangalore,Healthtech,LeapFrog Investments,55000000.0,Series D,2020
812,Ergos,Bangalore,Agritech,Aavishkar Capital,4598000.0,,2020
813,Nykaa,Mumbai,Ecommerce,Steadview capital,13137000.0,,2020
814,Samadhan,Delhi,Insurance,Venture Catalysts,,Seed Round,2020
815,SaScan,Bangalore,Healthcare,Unicorn India ventures,,,2020
816,Lido Learning,Mumbai,Edtech,"Pecus Capital, Madhur Deora",3000000.0,,2020
817,CureFit,Bangalore,Health and Fitness,Temasek,115000000.0,Series D,2020
818,Nimesa,Bangalore,SaaS,Ideaspring capital,,,2020
819,Design X,Noida,IoT,ThinkNext LLC,200000.0,Seed Round,2020
820,Driftly Electric,Bangalore,Automobile,MG Motor India,,,2020
821,Imstrong,Bangalore,Fitness,Rainmatter,400000.0,Seed Round,2020
822,Craftsvilla,Mumbai,Marketplace,Supera Investments,3900000.0,,2020
823,Rupifi,Bangalore,Fintech,"Ashneer Grover, Kunal Shah, Ramakant Sharma",,Pre seed round,2020
824,SnackAmor,Mumbai,Food,Undisclosed,,Seed Round,2020
825,Zealthy,Bangalore,Healthtech,"KYT Ventures, First Cheque, AngelList",,Seed Round,2020
826,CoinDCX,Mumbai,Fintech,"Polychain Capital, Bain Capital Ventures, HDR Group",3000000.0,Series A,2020
827,NuNu TV,Unknown,Media,Risers Accelerators,670000.0,,2020
828,QTalk,Bangalore,Technology,"Accel India, Lightspeed Venture Partners",1600000.0,Seed Round,2020
829,Shadez,Mumbai,Interior & decor,Inflection Point Ventures,100000.0,Seed Round,2020
830,Excess2Sell,Mumbai,Ecommerce,Gautham Madhavan,1000000.0,,2020
831,Stanplus,Hyderabad,Healthtech,Pegasus FinInvest,1500000.0,Pre series A,2020
832,Pitstop,Bangalore,Automobile,TPG-backed Group Landmark,2500000.0,Series A,2020
833,Univariety,Hyderabad,Edtech,Info Edge,1100000.0,,2020
834,Peel Works,Mumbai,SaaS,CESC Ventures,,"Series C, D",2020
835,CoreStack,Chennai,Technology,Naya Ventures,8500000.0,Series A,2020
836,Vivriti Capital,Chennai,Fintech,LGT Lightstone Aspada,50000000.0,Series B,2020
837,Agnikul,Chennai,Spacetech,pi Ventures,3148000.0,Pre series A,2020
838,Fintso,Unknown,Fintech,"Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta",2600000.0,,2020
839,Khatabook,Bangalore,Fintech,Mahendra Singh Dhoni,,,2020
840,Smart Coin,Bangalore,Fintech,LGT LightstoneAspada,7000000.0,Series A,2020
841,ZunRoof,Gurugram,Cleantech,Godrej Investments,3000000.0,Series A,2020
842,Shop101,Mumbai,Social e-commerce,"Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital",3900000.0,Series C,2020
843,OM Bhakti,Bangalore,FMCG,Venture Catalysts,,Seed Round,2020
844,Lal10,Uttar Pradesh,B2B,Sorenson Impact,1100000.0,,2020
845,Anaxee Digital Runner,Indore,Tech,Orios Venture Partners,,,2020
846,CollegeKhabri,Bhopal,Edtech,Vishal Dixit,,,2020
847,Ola Electric,Bangalore,eMobility,Pawan Munjal Family Trust Fund,1000000.0,,2020
848,Multi Living,Mumbai,Real Estate,Lodha Ventures,6000000.0,,2020
849,FamPay,Bangalore,Fintech,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",4700000.0,Seed Round,2020
850,UnboxRobotics Labs,Bangalore,Automation tech,"Arali Ventures, CIIE.CO",500000.0,Seed Round,2020
851,Karbon Card,Bangalore,Fintech,"Kunal Shah, Amrish Rau, Jitendra Gupta",2000000.0,Seed Round,2020
852,Airmeet,Bangalore,Media & Networking,Accel India,3000000.0,,2020
853,Innerchef,Gurgaon,Foodtech,Mistletoe,1000000.0,,2020
854,Epigamia,Mumbai,FMCG,KA Enterprise,,Series C,2020
855,StyleNook,Mumbai,Ecommerce,"Lead Angels Network, Stanford Angels",,,2020
856,Callido Learning,Mumbai,Edtech,Education Catalyst Fund,,,2020
857,Soxytoes,Delhi,Ecommerce,Angel network,,,2020
858,F5,Delhi,E-market,LetsVenture investors,,Seed Round,2020
859,Paper Boat,Bangalore,Food & Beverages,"Advent Management, A91 Emerging Fund, Trifecta Venture",4049500.0,,2020
860,Strata,Bangalore,Proptech,"SAIF Partners, Mayfield India",1500000.0,Seed Round,2020
861,Salesken,Bangalore,AI & Data science,Sequoia India,8000000.0,Series A,2020
862,Arya,Noida,Agritech,LGT Lightstone Aspada,6000000.0,Series B,2020
863,Leap Finance,Bangalore,Fintech,Sequoia India,5500000.0,,2020
864,Sleepy Owl,Delhi,Beverages,Rukam Capital,,,2020
865,Tricog,Bangalore,Healthtech,"UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",10500000.0,Series B,2020
866,GogoBus,Delhi,Travel tech,Ixigo,,,2020
867,Trell,Bangalore,Social e-commerce,"Sequoia’s Surge, Fosun RZ",4000000.0,Pre series A,2020
868,Spaciya Consultants,Noida,Real Estate,Alok Garg,500000.0,Pre series A,2020
869,Bounce,Bangalore,Automotive and Rentals,InnoVen Capital,6500000.0,,2020
870,Neeman,Hyderabad,Ecommerce,Anicut Angel Fund,1000000.0,Pre series A,2020
871,Chqbook,Gurugram,Fintech,Aavishkaar Capital,5000000.0,Series A,2020
872,SMEcorner,Mumbai,Fintech,Paragon Partners,30000000.0,Series B,2020
873,Oda Class,Bangalore,Edtech,Yuanfudao,,Pre series A,2020
874,Spinny,Haryana,E-tail,"Nandan Nilekani, Sanjeev Aggarwal",43700000.0,Series B,2020
875,goStops,Delhi,Accomodation,Atraxn Partners.,,,2020
876,Umeed Housing,Haryana,Fintech,Morgan Stanley Private Equity Asia,23000000.0,Series D,2020
877,Vogo,Bangalore,Automotive,Lightstone Aspada,20000000.0,Series C,2020
878,Flick Stree,Mumbai,AI & Media,Samsung Venture Investment,3000000.0,Series A,2020
879,Qure ai,Mumbai,Healthtech,Sequoia India,16000000.0,,2020
880,MinionLabs,Bangalore,Machine Learning,Indian Angel Network,,,2020
881,Josh Talks,Haryana,Media,Media Development Investment Fund,1500000.0,Pre series A,2020
882,PhoneParLoan,Delhi,Fintech,Accelerator MOX,,,2020
883,RailYatri,Noida,Travel,"Nandan Nilekani, Samsung Venture Investment Corporation",13800000.0,,2020
884,AjnaLens,Thane,Deeptech,"Maharashtra Defence, Aerospace Venture Fund (MDAVF)",1500000.0,Pre series A,2020
885,Pepper,Mumbai,Content Marktplace,"Kunal Bahl, Rohit Bansal",306900.0,Seed funding,2020
886,Rupeek,Bangalore,Fintech,"GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners",30000000.0,,2020
887,iMerit,Kolkata,IT,CDC Group Plc,20000000.0,Series B,2020
888,BharatPe,Delhi,Fintech,Ribbit Capital,75000000.0,Series C,2020
889,Invideo,Unknown,Visual Media,Sequoia Capital’s Surge,2500000.0,,2020
890,AvalonMeta,Unknown,Edtech,Peerplays,420000.0,,2020
891,Near Store,Mumbai,Ecommerce,Sauce.vc,300000.0,Seed Round,2020
892,ElecTorq,Delhi,Automobile,AdvantEdge,,,2020
893,Prayaan Capital,Chennai,Fintech,Accion Venture Lab,1200000.0,Seed Round,2020
894,Sanfe,Delhi,Hygiene,"SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",1100000.0,Pre series A,2020
895,Go Desi,Delhi,Foodtech,Rukam Capital,627300.0,Seed Round,2020
896,Swiggy,Bangalore,Foodtech,Prosus N.V,113000000.0,Series A,2020
897,Whatfix,Bangalore,SaaS,Sequoia Capital India,32000000.0,Series C,2020
898,Unacademy,Bangalore,Edtech,"Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",110000000.0,Series E,2020
899,Zvesta,Gurugram,Proptech,Hindustan Media Ventures,5500000.0,,2020
900,Dunzo,Bangalore,Logistics,Alteria Capital,11000000.0,,2020
901,Digit Insurance,Bangalore,Insurtech,"Virat Kohli, Anushka Sharma",340000.0,,2020
902,Yolo,Gurugram,Transport,Undisclosed,600000.0,Seed funding,2020
903,SmartVizX,Noida,VR & SaaS,Rockstud Capital,1397000.0,Pre series A,2020
904,MaxWholesale,Delhi,Ecommerce,"IAN Fund-I,  Al Falaj Investment Company (AFI)",3000000.0,Series A,2020
905,Carbon Clean,Unknown,Cleantech,"WAVE Equity Partners, Chevron Technology Ventures, Marubeni Corporation.",16000000.0,,2020
906,Onsitego,Mumbai,Sales & Services,Zodius Growth Fund,19000000.0,Series B,2020
907,Genius Corner,Noida,Edtech,"Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats",250000.0,,2020
908,PlanetSpark,Gurugram,Edtech,"Indian Angel Network, Lead Angels, Hyderabad Angels",448500.0,,2020
909,CamCom,Bangalore,AI & Deep learning,"Triton Investment Advisors,",,,2020
910,Simsim,Bangalore,Social Commerce,"Accel Partners, Shunwei Capital, Good Capital",8000000.0,Series B,2020
911,Shuttl,Delhi,Transport,SIG Global India Fund,7975700.0,Series C,2020
912,HooLiv,Delhi,Housing & Rentals,Kolte-Patil Family Office,,,2020
913,ClassMonitor,Indore,Edtech,Ashwin Khorana,,,2020
914,Friyey,Pune,Co-working,Tarun Bhalla,,,2020
915,Oga,Bangalore,Fitness,Inflection Point Ventures,330000.0,,2020
916,Big Basket,Bangalore,Estore,Trifecta Capital,3500000.0,,2020
917,CYFIRMA,Bangalore,SaaS,Z3 Partners,,Series A,2020
918,Innoviti,Bangalore,,FMO,5000000.0,,2020
919,Paytm money,Bangalore,Fintech,One97 Communications,5600000.0,,2020
920,Vedantu,Bangalore,Edtech,GGV Capital,24000000.0,Series C,2020
921,Yap,Chennai,Fintech,"Amrish Rau, Kunal Shah, Jitendra Gupta",1402000.0,,2020
922,Clover,Bangalore,Agritech,"Omnivore, Accel Partners, Mayfield",5500000.0,Series A,2020
923,Nova Credit,Unknown,Fintech,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst.",50000000.0,Series B,2020
924,CodingNinjas,Delhi,Edtech,Info Edge Ltd,5200000.0,Series A,2020
925,Furlenco,Bangalore,Ecommerce,Chowdry Associates,2200000.0,Series C,2020
926,Brick&Bolt,Bangalore,,Surge,1500000.0,Pre series A,2020
927,HempStreet,Delhi,Healthtech,Pharmacon Holdings,1000000.0,Pre series A,2020
928,MoEngage,Bangalore,Marketing,Eight Roads Ventures,25000000.0,Series C,2020
929,Classplus,Noida,Edtech,"Blume Ventures, Sequoia",2500000.0,Pre series A,2020
930,Chaayos,Unknown,Beverages,Think Investment,21500000.0,,2020
931,PetPooja,Ahmedabad,SaaS,Udaan,2000000.0,,2020
932,Altor,Unknown,Tech,Venture Catalysts,,,2020
933,Pepperfry,Mumbai,E-market,Pidilite Industries,40000000.0,Series F,2020
934,FirstCry,Pune,E-market,Softbank’s Vision Fund,296000000.0,Series E,2020
935,Byju,Unknown,Edtech,General Atlantic,200000000.0,,2020
936,Waycool,Chennai,Agritech,LightBox Ventures,32000000.0,Series C,2020
937,WorkIndia,Unknown,HR tech,Xiaomi,6000000.0,,2020
938,Qyuki,Mumbai,Media,Info Edge Venture Fund,3500000.0,,2020
939,Leap India,Coimbatore,Agritech,Neev Fund,30000000.0,Series B,2020
940,Picxy,Hyderabad,Media,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",250000.0,,2020
941,Krimanshi,Jodhpur,Agritech,Arunachal Pradesh Social Entrepreneurship Meet,20000.0,,2020
942,NEETprep,Delhi,Edtech,IndiaQuotient,,,2020
943,Dot Pvt. Ltd,Gurugram,Fintech,"PayU, Fosun RZ Capital",8000000.0,Seed Round,2020
944,Kuku FM,Mumbai,Media,Vertex Ventures,5500000.0,Series A,2020
945,SuperMoney,Mumbai,Fintech,Unitus Ventures.,1000000.0,Pre series A,2020
946,Rebel Foods,Unknown,Food tech,Alteria Capital,4900000.0,,2020
947,AlphaVector,Bangalore,E tailor,"Avaana Capital, Titan Capital",,,2020
948,Fox Capital,Jaipur,Fintech,Institutional Investors,2500000.0,,2020
949,Tribe Theory,Bangalore,Accomodation,Tim Draper,3500000.0,,2020
950,Fleetx,Gurugram,SaaS,Beenext,1402400.0,Series A,2020
951,Embibe,Mumbai,Edtech,Reliance Industries Limited (RIL),12618300.0,,2020
952,Entri,Kochi,Edtech,Good Capital,1400000.0,Seed Round,2020
953,Oye! Rickshaw,Delhi,E-mobility,Chiratae Ventures,10000000.0,Series A,2020
954,Seal Professional,Bangalore,Edtech,Equanimity Ventures,,Pre series A,2020
955,Sprinng Foods,Mumbai,Food,"Mistletoe, Info Edge Asia",,,2020
956,1MG,Gurugram,Healthtech,Bill & Melinda Gates Foundation,9900000.0,,2020
957,Aagey,Bangalore,Fintech,"JITO Angel Network, Ketan Kothari, Girish Jain, Sunil Singhvi, Vinay Jain",,,2020
958,Doubtnut,Gurugram,Edtech,Tencent,15000000.0,Series A,2020
959,AdonMo,Bangalore,Ad-tech,Ant Financial,3000000.0,,2020
960,RACEnergy,Unknown,E-mobility,"GrowX ventures, Prophetic Ventures",,Seed Round,2020
961,BharatPe,Delhi,Fintech,Coatue Management,100000000.0,,2020
962,Kisan Network,Gurugram,Agritech,Atsushi Taira,3000000.0,Seed Round,2020
963,Vogo,Bangalore,Automotive,Lightstone Aspada,35000000.0,Series C,2020
964,Yolo,Gurugram,Transport,Undisclosed,600000.0,Seed Round,2020
965,Unotech,Mumbai,SaaS,Manish Choksi,2000000.0,,2020
966,Zetwerk,Bangalore,Marketplace,InnoVen capital,2200000.0,,2020
967,CureSkin,Bangalore,Healthtech,SenseAI Ventures,500000.0,,2020
968,WizKlub,Bangalore,Edtech,Incubate Fund India,982530.0,Seed Funding,2020
969,Interviewbit,Pune,Edtech,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)",200000000.0,Series A,2020
970,MoneyTap,Bangalore,Fintech,"Aquiline Technology Growth (ATG), RTP Global, Sequoia India",70185200.0,Series B,2020
971,Uniplatform Tech,Delhi,SaaS,"Frontline Strategy Finds, SucSEED Venture Partners LLP",,,2020
972,INdwealth,Gurugram,Fintech,"Tiger Global, Steadview Capital, DF International Private Partners",12000000.0,Series C,2020
973,Bizongo,Mumbai,Marketplace,Schroder Adveq,30000000.0,Series C,2020
974,AppsFlyer,Bangalore,SaaS,General Atlantic,210000000.0,Series D,2020
975,Digit Insurance,Bangalore,Insurtech,"A91 Partners, Faering Capital, TVS Capital",84000000.0,,2020
976,Livspace,Bangalore,Interior Design,"Tahoe Investment Group, Mercer Investment",60000000.0,Series D,2020
977,GetVantage,Mumbai,Fintech,"Samyakth Capital, Venture Catalysts",,Seed Round,2020
978,Konfinity,Noida,Edtech,Angel investors,,,2020
979,Pine Labs,Noida,Fintech,Mastercard,,,2020
980,Instoried,Delhi,SaaS,"SOSV, Chinaccelerator",,,2020
981,Nupay,Haryana,Neo-banking,Venture Catalysts,,,2020
982,LogiNext,Mumbai,Transport Automation,"Tiger Global, Steadview Capital",39000000.0,Series B,2020
983,Samosa Singh,Bangalore,Food,She Capital,2700000.0,Series A,2020
984,Crysta,Delhi,Healthtech,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli",1403400.0,Pre Series A,2020
985,Eupheus Learning,Delhi,Edtech,Yuj Ventures,4300000.0,Series A,2020
986,Bounce,Bangalore,Automotive and Rentals,"Accel Partners, B Capital",105000000.0,Series D,2020
987,Park+,Unknown,Techonology,"Sequoia Capital, Matrix Partners India",11000000.0,,2020
988,Goodmylk,Bangalore,Dairy,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest",400000.0,Seed Round,2020
989,SmartKarrot,Unknown,SaaS,Angel investors,1000000.0,,2020
990,Skylo,Bangalore,IoT,SoftBank Group,103000000.0,Series B,2020
991,Tea Trunk,Goa,Beverage,Angel investors,220000.0,,2020
992,Zoomcar,Bangalore,Transport & Rentals,Sony Innovation Fund,30000000.0,Series D,2020
993,Mera Cashier,Noida,Fintech,"Amit Singal, Manish Aggarwal",250000.0,Seed Round,2020
994,Samya AI,Bengaluru,SaaS,Sequoia India,6000000.0,Seed Round,2020
995,Kristal AI,Bangalore,AI,Chiratae Ventures,6000000.0,Series A,2020
996,Invento Robotics,Bangalore,AI Robotics,"Windrose Capital, ITI Growth Opportunities Venture Fund",281300.0,Seed Round,2020
997,Zimyo,Gurugram,HR tech,Yatra Angel Network (YAN),,,2020
998,Sabse Sasta Dukaan,Kolkata,Pharmaceutical,Angel investors,,,2020
999,Fitphilia,Mumbai,Healthtech,Angel investors,,,2020
1000,Medicus,Mumbai,Healthtech,Angel investors,12700.0,,2020
1001,Monech,Mumbai,Fintech,Angel investors,12700.0,Seed Round,2020
1002,Teach Us,Mumbai,Edtech,Angel investors,12700.0,Seed Round,2020
1003,Dealberg,Bangalore,B2B marketplace,Undisclosed,,,2020
1004,Phenom People,Hyderabad,HR tech,WestBridge Capital,30000000.0,Series C,2020
1005,Extra Edge,Pune,Edtech,"Sprout Venture Partners, Indian Angel Network",700000.0,Pre Series A,2020
1006,Capital Quotient,Bangalore,Fintech,Undisclosed,600000.0,,2020
1007,Karfa,Delhi,Ecommerce,Undisclosed,25000.0,Seed Round,2020
1008,Gamerji,Unknown,Gaming,La Gajjar Group,400000.0,,2020
1009,Bounce,Bangalore,Automotive and Rentals,"Accel Partners, B Capital",97500000.0,Series D,2020
1010,Zinier,Bangalore,Automation,ICONIQ Capital,90000000.0,Series C,2020
1011,ProEves,Delhi,Preschool Daycare,1Crowd,507000.0,Seed Round,2020
1012,Toddle,Bengaluru,,Matrix Partners India,,,2020
1013,Aesthetic Nutrition,Unknown,Food diet,DSG Consumer Partners,,Pre Series A,2020
1014,Capital Float,Bangalore,Fintech,"Sequoia Capital, Ribbit Capital, Amazon, Saif Partners",15000000.0,,2020
1015,Ninjacart,Bangalore,B2B Agritech,"Flipkart India, Singapore-based GEC3",10000000.0,Series C,2020
1016,TechnifyBiz,Delhi,B2B Agritech,"Omnivore, Insitor Impact Asia Fund",2000000.0,Seed Round,2020
1017,Wysh,Hyderabad,E-connect,Kalaari Capital,2000000.0,Series A,2020
